Resource,MIDAT_conventional_hydroelectric_1,MIDAT_hydroelectric_pumped_storage_1,MIDAT_natural_gas_fired_combined_cycle_1,MIDAT_natural_gas_fired_combined_cycle_2,MIDAT_natural_gas_fired_combined_cycle_3,MIDAT_natural_gas_fired_combined_cycle_4,MIDAT_natural_gas_fired_combustion_turbine_1,MIDAT_natural_gas_fired_combustion_turbine_2,MIDAT_nuclear_1,MIDAT_nuclear_2,MIDAT_onshore_wind_turbine_1,MIDAT_small_hydroelectric_1,MIDAT_solar_photovoltaic_1,NE_conventional_hydroelectric_1,NE_hydroelectric_pumped_storage_1,NE_natural_gas_fired_combined_cycle_1,NE_natural_gas_fired_combined_cycle_2,NE_natural_gas_fired_combined_cycle_3,NE_natural_gas_fired_combustion_turbine_1,NE_natural_gas_fired_combustion_turbine_2,NE_nuclear_1,NE_nuclear_2,NE_onshore_wind_turbine_1,NE_small_hydroelectric_1,NE_solar_photovoltaic_1,SE_conventional_hydroelectric_1,SE_hydroelectric_pumped_storage_1,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combustion_turbine_1,SE_natural_gas_fired_combustion_turbine_2,SE_nuclear_1,SE_nuclear_2,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0,SE_battery_moderate_0,SE_nuclear_mid_0,MIDAT_naturalgas_ccccsavgcf_conservative_0,MIDAT_naturalgas_ccavgcf_moderate_0,MIDAT_naturalgas_ctavgcf_moderate_0,MIDAT_battery_moderate_0,MIDAT_nuclear_mid_0,NE_naturalgas_ccccsavgcf_conservative_0,NE_naturalgas_ccavgcf_moderate_0,NE_naturalgas_ctavgcf_moderate_0,NE_battery_moderate_0,NE_nuclear_mid_0,NE_offshorewind_class10_moderate_floating_1_1,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,MIDAT_utilitypv_class1_moderate_70_0_2_1,MIDAT_utilitypv_class1_moderate_70_0_2_2,MIDAT_utilitypv_class1_moderate_70_0_2_3,MIDAT_utilitypv_class1_moderate_70_0_2_4,MIDAT_utilitypv_class1_moderate_70_0_2_5,MIDAT_utilitypv_class1_moderate_70_0_2_6,MIDAT_utilitypv_class1_moderate_70_0_2_7,NE_utilitypv_class1_moderate_70_0_2_1,NE_utilitypv_class1_moderate_70_0_2_2,NE_utilitypv_class1_moderate_70_0_2_3,NE_utilitypv_class1_moderate_70_0_2_4,NE_utilitypv_class1_moderate_70_0_2_5,NE_utilitypv_class1_moderate_70_0_2_6,NE_utilitypv_class1_moderate_70_0_2_7,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8,MIDAT_landbasedwind_class4_moderate_70_1,MIDAT_landbasedwind_class4_moderate_70_2,MIDAT_landbasedwind_class4_moderate_70_3,MIDAT_landbasedwind_class4_moderate_70_4,MIDAT_landbasedwind_class4_moderate_70_5,MIDAT_landbasedwind_class4_moderate_70_6,MIDAT_landbasedwind_class4_moderate_70_7,NE_landbasedwind_class4_moderate_70_1,NE_landbasedwind_class4_moderate_70_2,NE_landbasedwind_class4_moderate_70_3,NE_landbasedwind_class4_moderate_70_4,NE_landbasedwind_class4_moderate_70_5,NE_landbasedwind_class4_moderate_70_6,NE_landbasedwind_class4_moderate_70_7,Total
Zone,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,0
AnnualSum,0.0,0.0,1672.094448149572,5631.731479764592,9.38968295863489,2553.3219132209742,2135.9193897477858,2466.530706981931,0.019948428912817916,0.024034977584327915,0.0,0.0,0.0,0.0,0.0,5005.370456599806,3493.8375898881136,4.583636836908893,29.43788195191693,1515.7656372141355,0.020940504292459097,0.022322763396634374,0.0,0.0,0.0,0.0,0.0,6623.282881377078,4292.211639979912,10554.782273566692,0.8932105932556429,2.6044379216689357,15.036916760878581,0.029116696715015225,0.023707303872741066,0.0,0.0,0.9837893373232706,2.0286727010229955,1.7217891497500286,0.0,0.04766252813880796,0.8496241342722738,11712.597017849124,1.793294674583535,0.0,0.046004945740332585,0.7673173285069308,2.019201237800882,1.6798377013096915,0.0,0.03634727043579125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57731.50481304664
t1,0.0,0.0,0.0003225672778159873,6.711673322455517e-5,0.00013682610667756546,6.818120161410742e-5,0.0002605665112891437,0.0017114016765963302,1.299766035447201e-6,1.5799861915165917e-6,0.0,0.0,0.0,0.0,0.0,0.0002619769326634387,8.336542530067979e-5,0.0004672100654043092,0.0011243016843884147,0.00038992665848139974,1.4738452802026267e-6,1.5770946097567781e-6,0.0,0.0,0.0,0.0,0.0,6.954622844815146e-5,0.0002090564494288547,4.914830353828968e-5,8.701032799679259e-5,0.00023768491537908739,0.0013180173952146597,1.7481328463598916e-6,1.47816706194837e-6,0.0,0.0,6.992502302330558e-5,7.058722650046746e-5,0.00016469358010143232,0.0,3.724205273429691e-6,8.448046700279461e-5,9.901192551639602e-5,0.000141915659041873,0.0,3.7952636968207134e-6,7.86170208796094e-5,7.698016291072506e-5,0.00014306856115711033,0.0,2.9577700156695317e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007812817750606632
t2,0.0,0.0,0.0002872518537676595,5.873742828772242e-5,0.00012872258604232164,5.908997473350271e-5,0.00024731758880369465,0.0016226182010128287,1.2850132641392093e-6,1.556360748208031e-6,0.0,0.0,0.0,0.0,0.0,0.00022411245384985613,7.054945936658704e-5,0.000431846764580131,0.0010538375665585676,0.0003649449564812463,1.4405185693944327e-6,1.5452683747494703e-6,0.0,0.0,0.0,0.0,0.0,6.359977146019112e-5,0.00018847900881425341,4.444104758456171e-5,7.718576015479054e-5,0.0002202757464780237,0.0012303274016939685,1.7193504056553754e-6,1.4523780057746913e-6,0.0,0.0,6.9331848529884e-5,6.934577639543418e-5,0.00015906526952736604,0.0,3.6624006766418047e-6,8.204613046455049e-5,9.39040876071441e-5,0.00013757123206447765,0.0,3.7361516101460983e-6,7.346376998736082e-5,7.134543733559046e-5,0.0001362434376334368,0.0,3.001824963330841e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007285053825833191
t3,0.0,0.0,0.0002572720007837666,5.1796296246038595e-5,0.0001206619229459236,5.170601470110127e-5,0.00023221943419966017,0.0015280474377825973,1.2614954276196297e-6,1.5283399848068163e-6,0.0,0.0,0.0,0.0,0.0,0.0001936245936190009,6.079035059924966e-5,0.0003963876647362804,0.0009802453013825567,0.0003404965842475492,1.3992756010837527e-6,1.5023012300904987e-6,0.0,0.0,0.0,0.0,0.0,5.7747833440699506e-5,0.00016993949941647505,3.986328019057426e-5,6.823801973203411e-5,0.0002042922823016185,0.0011470024214413274,1.6843252024576e-6,1.415541766664183e-6,0.0,0.0,6.761979716214473e-5,6.767510011646955e-5,0.00015773400241787024,0.0,3.6153141973311455e-6,7.6150044221068e-5,8.491893387191322e-5,0.00013684903853539683,0.0,3.678506797228411e-6,6.810322697790874e-5,6.516790445690598e-5,0.0001334260224787748,0.0,2.922677825548357e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006776982786037736
t4,0.0,0.0,0.00023169134394101514,4.60856054492898e-5,0.00011280653168202395,4.574023505621395e-5,0.00021549249540977466,0.0014338137972541903,1.2355255802455982e-6,1.498930606620022e-6,0.0,0.0,0.0,0.0,0.0,0.0001685731820414737,5.317693509957959e-5,0.00036090231243366945,0.0009025951752616459,0.00031368615489701555,1.3578758929326677e-6,1.4579292490356348e-6,0.0,0.0,0.0,0.0,0.0,5.2574652744970104e-5,0.00015392593340818214,3.59645934189007e-5,6.050553597449952e-5,0.0001897130880552626,0.0010741576752686121,1.6459984780561591e-6,1.373224106909716e-6,0.0,0.0,6.509619433831745e-5,6.504895232617264e-5,0.00014246231495848919,0.0,3.5479641932009473e-6,6.919837759314761e-5,7.59422829156049e-5,0.00012302790861158124,0.0,3.600849163726608e-6,6.17522274168604e-5,5.873760889231123e-5,0.0001178422030571941,0.0,2.8602968291683425e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006249091911605894
t5,0.0,0.0,0.00020908309183666253,4.1290394040514335e-5,0.00010510805736481892,4.0837350778066284e-5,0.000196234230484063,0.0013325895579526425,1.2088863625365294e-6,1.4685280674175145e-6,0.0,0.0,0.0,0.0,0.0,0.00014240027416746837,4.665485488471642e-5,0.0003244993465230785,0.0007966058507206368,0.0002766811055859579,1.3199496807443665e-6,1.417743250773908e-6,0.0,0.0,0.0,0.0,0.0,4.801457668713833e-5,0.00013989256752036346,3.267067838408787e-5,5.399832209993083e-5,0.00017607969353043235,0.0010051398476609282,1.6247074832049477e-6,1.3503463630535625e-6,0.0,0.0,6.175464598271586e-5,6.142247130022656e-5,0.0001353199420824104,0.0,3.4951970296324936e-6,6.181030380424964e-5,6.754569389154241e-5,0.00011684891472651905,0.0,3.5187535410474254e-6,5.394709916289657e-5,5.15487058808211e-5,0.00010873811703822693,0.0,2.8170199554057317e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005704936825824932
t6,0.0,0.0,0.00018470679003760001,3.712632655204153e-5,9.733132303433047e-5,3.670541443028997e-5,0.0001717791719109541,0.0012024260277994484,1.1852138547434992e-6,1.4435186539171351e-6,0.0,0.0,0.0,0.0,0.0,0.00015712393696857841,5.126427649701892e-5,0.0003449284237526304,0.0009012948254897244,0.00031111866273090627,1.3508507981264496e-6,1.450850573457965e-6,0.0,0.0,0.0,0.0,0.0,4.3854143154899404e-5,0.00012725612766575198,2.9731589116477037e-5,4.8335182971977566e-5,0.00016279918563396118,0.0009389651694494081,1.5949188954660922e-6,1.3212567327493441e-6,0.0,0.0,5.760312921740781e-5,5.654259208703719e-5,0.00013209985045830347,0.0,3.4225198377539204e-6,5.4131923871810984e-5,5.935700800083031e-5,0.00011352075608620245,0.0,3.4658162886312912e-6,6.0612139725039476e-5,6.230224818742596e-5,0.00012438028104276453,0.0,2.887829187394356e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00558541928069506
t7,0.0,0.0,0.0002040688786766525,4.066714221464188e-5,0.00010385038886100666,4.005042365165888e-5,0.00019435502804724333,0.0013430742508545555,1.2114999495723286e-6,1.47779120574916e-6,0.0,0.0,0.0,0.0,0.0,0.00016939319822089526,5.4973736296013163e-5,0.0003606393862249053,0.0009859455447685976,0.00034048685331650126,1.382124099441179e-6,1.4845361581148098e-6,0.0,0.0,0.0,0.0,0.0,3.899726259525292e-5,0.00011150238579915833,2.5486889058564435e-5,4.2294070840126746e-5,0.00014535801119238824,0.0008651178277614867,1.5538801145240639e-6,1.2907432172741915e-6,0.0,0.0,5.1656465147524896e-5,4.9319330635254784e-5,0.00011330967937941282,0.0,3.345507979518244e-6,6.113822704048691e-5,7.030058335293075e-5,0.00011707618745743224,0.0,3.5214032612149957e-6,6.625645537093505e-5,7.352346903653325e-5,0.00012701516115497583,0.0,2.9603854791410467e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058140847084196855
t8,0.0,0.0,0.0002211499659246193,4.382665875357447e-5,0.00010899801870988514,4.289809207321177e-5,0.00021417228045009023,0.001460614376056051,1.2397470727633017e-6,1.5140098823151472e-6,0.0,0.0,0.0,0.0,0.0,0.0001799475966965494,5.8320873150416414e-5,0.0003723364321544672,0.0010558880054473139,0.0003658787071883632,1.4149777352698247e-6,1.5197264903250281e-6,0.0,0.0,0.0,0.0,0.0,4.378454800927551e-5,0.0001247224210512263,2.8733807039663326e-5,4.594204577869284e-5,0.00015938007386734446,0.000929014623359618,1.5729897855944207e-6,1.3047558858970652e-6,0.0,0.0,6.003217489278185e-5,5.921656306708645e-5,0.00012299149680344287,0.0,3.374621970076598e-6,6.750631445336756e-5,8.116761775461114e-5,0.00012673234035428092,0.0,3.582467620504013e-6,7.125246171621005e-5,8.545813083863061e-5,0.00013658080328216585,0.0,3.0408049138691618e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006285110530229554
t9,0.0,0.0,0.0002368873305779894,4.682930846176829e-5,0.00011384766104837288,4.54911070141141e-5,0.0002303204494765149,0.0015627074952342713,1.268992984844471e-6,1.5507365666670125e-6,0.0,0.0,0.0,0.0,0.0,0.0001887198068925082,6.12898889181176e-5,0.0003806619121258875,0.0011126617160437445,0.00038755631156782937,1.4496895652897077e-6,1.5565469665801027e-6,0.0,0.0,0.0,0.0,0.0,4.8309274512302885e-5,0.00013853360793437006,3.211989118898926e-5,4.923301469328203e-5,0.0001724573203301683,0.0009826632858832456,1.5741792680283577e-6,1.301802498664002e-6,0.0,0.0,6.909934478269772e-5,7.135289211397337e-5,0.00013578580273262666,0.0,3.377075412201314e-6,7.301762729638217e-5,9.224486849173548e-5,0.00014035918048375823,0.0,3.6465639332070185e-6,7.537362471675734e-5,9.670475465421617e-5,0.00015019161096681887,0.0,3.1252236259078124e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006713269898963832
t10,0.0,0.0,0.00025096803468255415,4.963896044474723e-5,0.00011823589297355688,4.7803534974125244e-5,0.00024257078583521423,0.001649898110235079,1.2996486902023613e-6,1.5883851706530288e-6,0.0,0.0,0.0,0.0,0.0,0.00019570254406099758,6.383488623004702e-5,0.0003863698994688701,0.0011571714396178647,0.0004056409822265294,1.4859432734124887e-6,1.5949766214939843e-6,0.0,0.0,0.0,0.0,0.0,5.30183330770057e-5,0.00015314253688436855,3.577263328948503e-5,5.215916994909516e-5,0.00018484813559319335,0.0010328408245734704,1.5779907989285118e-6,1.3018764076427886e-6,0.0,0.0,7.881003752986101e-5,8.646718955393017e-5,0.00013517008630468898,0.0,3.3826142784681063e-6,7.736978888680913e-5,0.00010229131819749387,0.00013998097811001177,0.0,3.715025684739873e-6,7.785926109792471e-5,0.00010123644687849142,0.00014833804976897697,0.0,3.210330246171982e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007046296651616105
t11,0.0,0.0,0.0002629915913743846,5.221504970581517e-5,0.0001220753199765013,4.9831446380336954e-5,0.0002513366252515585,0.0017217640802487096,1.3318897373589131e-6,1.627790985412115e-6,0.0,0.0,0.0,0.0,0.0,0.00020112827847166157,6.598683842254735e-5,0.0003901926309899123,0.0011910593702227801,0.00042040873508370847,1.5241237308443606e-6,1.6355096373512853e-6,0.0,0.0,0.0,0.0,0.0,5.785763831032011e-5,0.00016815542713249443,3.960360080447079e-5,5.4653839175087824e-5,0.00019633179792060212,0.0010809150001841994,1.5886259052841188e-6,1.3092157353315047e-6,0.0,0.0,8.811979962202036e-5,0.00010282835962821123,0.00014214388302238566,0.0,3.400938318952252e-6,8.012005396830255e-5,0.00010717483702992619,0.000147908387663777,0.0,3.789769651186859e-6,7.977151352232681e-5,0.0001047676474748406,0.0001556729742468347,0.0,3.2978668621962995e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007354520456397634
t12,0.0,0.0,0.00027248996768794166,5.443686358323144e-5,0.00012533839187895245,5.155842761129333e-5,0.0002573471606103659,0.0017791178865830264,1.3657593933848713e-6,1.668966697499226e-6,0.0,0.0,0.0,0.0,0.0,0.00020524533339909192,6.777015764745615e-5,0.0003927054376364334,0.0012163947149650069,0.0004323172088143402,1.5641690067793489e-6,1.6779840121376457e-6,0.0,0.0,0.0,0.0,0.0,6.353287128581037e-5,0.0001844381134397596,4.4141469242005003e-5,5.761089751444009e-5,0.00020685804659067468,0.0011267815985867493,1.5999025454215583e-6,1.3175986943068993e-6,0.0,0.0,9.416055961357365e-5,0.00010825162695532653,0.0001537903860673009,0.0,3.4234166024474206e-6,8.19628065871432e-5,0.00011105466748639126,0.00016004249438020192,0.0,3.869785458418204e-6,8.107869793037658e-5,0.00010748241741636414,0.00016715331609234516,0.0,3.3856657742607267e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007622934767790258
t13,0.0,0.0,0.0002791461436326839,5.603961726265111e-5,0.00012801255750494024,5.29759562976221e-5,0.0002613418632519882,0.0018236050687686438,1.4013589108439676e-6,1.7123270542260307e-6,0.0,0.0,0.0,0.0,0.0,0.00020836999414832881,6.921882498255882e-5,0.0003943375951157469,0.0012349527753447486,0.00044173264467811977,1.6061230579959924e-6,1.7224172807550642e-6,0.0,0.0,0.0,0.0,0.0,6.838335260742511e-5,0.0001994132030827295,4.810358230856396e-5,6.0307942446474875e-5,0.0002164270502792859,0.0011709719733427062,1.6113525034771196e-6,1.326888154646361e-6,0.0,0.0,9.874839458719984e-5,0.00011333251930436767,0.00015057223629441117,0.0,3.4514885729856105e-6,8.320019002562625e-5,0.00011408345716943737,0.0001558809383566383,0.0,3.952850412533799e-6,8.177209274696941e-5,0.00010954171157885152,0.0001613418355735693,0.0,3.4711607708655767e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007802069487410618
t14,0.0,0.0,0.0002840014684866657,5.739683862871597e-5,0.00013021015194815977,5.4154096517724406e-5,0.00026396211626921937,0.001857181227645714,1.4388750366938769e-6,1.7589454356576791e-6,0.0,0.0,0.0,0.0,0.0,0.00021060184754827382,7.034525007393743e-5,0.00039539838591699024,0.001247590584733504,0.00044867416359089824,1.6499550931255912e-6,1.7688081613883802e-6,0.0,0.0,0.0,0.0,0.0,7.05558714564702e-5,0.0002086447691112705,5.007043251167412e-5,6.204949556934007e-5,0.00022504555538255155,0.0012131611903158346,1.6228489799363683e-6,1.3365980628513395e-6,0.0,0.0,0.00010353095764514751,0.0001188372195246455,0.0001564022646054627,0.0,3.482014683286587e-6,8.40248737261992e-5,0.0001164209812037546,0.00016172990591293023,0.0,4.041474570545345e-6,8.238643931399666e-5,0.000111003517400059,0.00016648555770323512,0.0,3.556620977253162e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007970521303743114
t15,0.0,0.0,0.00028762063488787777,5.853099998561893e-5,0.00013199396804358494,5.5120862799395515e-5,0.0002656920756021932,0.0018821890157363851,1.4782188118971007e-6,1.8082706129205984e-6,0.0,0.0,0.0,0.0,0.0,0.0002122836211441566,7.122517430512781e-5,0.0003960862835908168,0.0012567425168062971,0.0004541047480345628,1.696166706248752e-6,1.8177585513897322e-6,0.0,0.0,0.0,0.0,0.0,7.318419678923466e-5,0.00021831235963207306,5.241359170992525e-5,6.399778396065376e-5,0.00023317006105276082,0.0012538971572772434,1.6348520793331278e-6,1.347025548023759e-6,0.0,0.0,0.00010733317356960446,0.00012415935045073805,0.00016749785207341734,0.0,3.5132561971231405e-6,8.456341964925595e-5,0.00011817887051554689,0.00017205932217704103,0.0,4.133927321718007e-6,8.272529070459144e-5,0.00011203716962118226,0.00017604783482321338,0.0,3.6409791928238897e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008132237789963977
t16,0.0,0.0,0.0002903254355502178,5.94483275418778e-5,0.00013342511215258925,5.588599801556825e-5,0.0002668289162095336,0.0019005921061879614,1.5196431305289983e-6,1.8604203201341955e-6,0.0,0.0,0.0,0.0,0.0,0.00021381477023966545,7.198894647183438e-5,0.00039652387879266394,0.001264527374035386,0.0004589077379362513,1.7445060928357662e-6,1.8687583267241855e-6,0.0,0.0,0.0,0.0,0.0,7.597351651923614e-5,0.00022839031332430774,5.495659619592903e-5,6.607932399723788e-5,0.00024111768275104085,0.001293694519118816,1.651076433079342e-6,1.3618917655293517e-6,0.0,0.0,0.00011020993863865702,0.00012890010221814916,0.00016239086635937622,0.0,3.5484033952779877e-6,8.491892980536928e-5,0.00011948941258455774,0.00016493432847885102,0.0,4.230619885910434e-6,8.28395932278314e-5,0.00011297813095793062,0.0001677682850150165,0.0,3.72416279290703e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008228419624468783
t17,0.0,0.0,0.00029240585106951475,6.019930023251113e-5,0.00013457815694973505,5.6502727499922014e-5,0.00026759920328670744,0.0019139821172224733,1.5629856742968863e-6,1.915535220912285e-6,0.0,0.0,0.0,0.0,0.0,0.00021526695742604413,7.263944409131371e-5,0.0003968188899678878,0.0012712836830474496,0.00046286726556633194,1.795700259438089e-6,1.9228411633717763e-6,0.0,0.0,0.0,0.0,0.0,7.952181789628332e-5,0.00023958647881582457,5.8683726984753735e-5,6.904206740895595e-5,0.00025004302675743685,0.0013322320048268132,1.6854291253689759e-6,1.3957043177714424e-6,0.0,0.0,0.00011658901105741595,0.0001359842316647073,0.0001683282536707497,0.0,3.603717886907404e-6,8.513280784837376e-5,0.00012048918436880724,0.00016928564641544299,0.0,4.334079696591892e-6,8.323817587722349e-5,0.00011370230591408493,0.00017162802537498413,0.0,3.8133442502424803e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00835965969883665
